round,test_accuracy,loss
1,0.5397,0.6551
2,0.5566,0.6362
3,0.576,0.6142
4,0.5962,0.5943
5,0.6125,0.5796
6,0.624,0.5604
7,0.6387,0.5423
8,0.6509,0.5282
9,0.6655,0.5169
10,0.6777,0.5009
11,0.6852,0.4864
12,0.6977,0.4744
13,0.7073,0.4648
14,0.7186,0.449
15,0.725,0.4508
16,0.7322,0.4322
17,0.74,0.4244
18,0.7484,0.4194
19,0.7563,0.4007
20,0.7615,0.4029
21,0.7687,0.3972
22,0.7738,0.3877
23,0.7766,0.38
24,0.782,0.379
25,0.7911,0.3706
26,0.7923,0.3665
27,0.799,0.3562
28,0.7968,0.3594
29,0.8003,0.3509
30,0.8064,0.3489
31,0.8117,0.3388
32,0.8133,0.3386
33,0.8221,0.3311
34,0.8205,0.3361
35,0.8216,0.3326
36,0.8261,0.3241
37,0.8259,0.3294
38,0.8337,0.3196
39,0.8323,0.3184
40,0.8328,0.3147
41,0.8369,0.3178
42,0.8368,0.3137
43,0.8389,0.3062
44,0.837,0.3074
45,0.8451,0.3067
46,0.8415,0.3029
47,0.842,0.3024
48,0.847,0.3042
49,0.8442,0.2985
50,0.8488,0.3006
51,0.8526,0.2987
52,0.8486,0.2974
53,0.849,0.2971
54,0.8508,0.2919
55,0.8517,0.2978
56,0.8571,0.2965
57,0.856,0.2932
58,0.8539,0.294
59,0.8527,0.2966
60,0.8575,0.2893
61,0.8548,0.2892
62,0.8592,0.2915
63,0.8566,0.2901
64,0.8586,0.2859
65,0.8576,0.2906
66,0.8588,0.2866
67,0.858,0.2835
68,0.8602,0.2822
69,0.8594,0.2885
70,0.8603,0.2814
71,0.8603,0.2825
72,0.8608,0.2925
73,0.8581,0.2891
74,0.8633,0.2866
75,0.8633,0.2852
76,0.8617,0.2874
77,0.8592,0.2841
78,0.8672,0.2834
79,0.8586,0.2856
80,0.8633,0.2888
81,0.8638,0.2764
82,0.8645,0.2838
83,0.8654,0.2841
84,0.8639,0.2822
85,0.8603,0.2805
86,0.865,0.2816
87,0.8596,0.28
88,0.8599,0.2823
89,0.864,0.2824
90,0.8663,0.2837
91,0.861,0.2787
92,0.8625,0.2871
93,0.8641,0.2836
94,0.8641,0.2835
95,0.864,0.2835
96,0.8636,0.2812
97,0.8649,0.2827
98,0.8651,0.281
99,0.8675,0.2826
100,0.865,0.281
