round,test_accuracy,epsilon,loss
1,0.8716,0.4791,0.4176
2,0.8716,0.6919,0.4152
3,0.8716,0.8492,0.413
4,0.8716,1.0065,0.4109
5,0.8716,1.132,0.4089
6,0.8716,1.2574,0.407
7,0.8716,1.366,0.4052
8,0.8716,1.4746,0.4035
9,0.8716,1.5723,0.4019
10,0.8716,1.67,0.4003
11,0.8716,1.7599,0.3988
12,0.8716,1.8498,0.3974
13,0.8716,1.9338,0.3961
14,0.8716,2.0177,0.3948
15,0.8716,2.097,0.3936
16,0.8716,2.1762,0.3925
17,0.8716,2.2515,0.3914
18,0.8716,2.3268,0.3903
19,0.8716,2.3988,0.3893
20,0.8716,2.4709,0.3884
21,0.8716,2.5401,0.3875
22,0.8716,2.6094,0.3866
23,0.8716,2.6762,0.3858
24,0.8716,2.743,0.3851
25,0.8716,2.8077,0.3843
26,0.8716,2.8724,0.3836
27,0.8716,2.9352,0.383
28,0.8716,2.9979,0.3823
29,0.8716,3.059,0.3817
30,0.8716,3.12,0.3812
31,0.8716,3.1795,0.3806
32,0.8716,3.239,0.3801
33,0.8716,3.2971,0.3796
34,0.8716,3.3552,0.3791
35,0.8716,3.412,0.3787
36,0.8716,3.4688,0.3783
37,0.8716,3.5244,0.3779
38,0.8716,3.58,0.3775
39,0.8716,3.6345,0.3771
40,0.8716,3.6891,0.3768
41,0.8716,3.7426,0.3764
42,0.8716,3.7962,0.3761
43,0.8716,3.8487,0.3758
44,0.8716,3.9013,0.3755
45,0.8716,3.953,0.3753
46,0.8716,4.0047,0.375
47,0.8716,4.0556,0.3748
48,0.8716,4.1065,0.3745
49,0.8716,4.1566,0.3743
50,0.8716,4.2067,0.3741
51,0.8716,4.2561,0.3739
52,0.8716,4.3054,0.3737
53,0.8716,4.3541,0.3735
54,0.8716,4.4028,0.3734
55,0.8716,4.4508,0.3732
56,0.8716,4.4988,0.373
57,0.8716,4.5462,0.3729
58,0.8716,4.5936,0.3728
59,0.8716,4.6404,0.3726
60,0.8716,4.6873,0.3725
61,0.8716,4.7335,0.3724
62,0.8716,4.7798,0.3723
63,0.8716,4.8255,0.3721
64,0.8716,4.8713,0.372
65,0.8716,4.9165,0.3719
66,0.8716,4.9617,0.3718
67,0.8716,5.0065,0.3718
68,0.8716,5.0512,0.3717
69,0.8716,5.0955,0.3716
70,0.8716,5.1398,0.3715
71,0.8716,5.1836,0.3714
72,0.8716,5.2274,0.3714
73,0.8716,5.2708,0.3713
74,0.8716,5.3142,0.3712
75,0.8716,5.3572,0.3712
76,0.8716,5.4002,0.3711
77,0.8716,5.4428,0.3711
78,0.8716,5.4854,0.371
79,0.8716,5.5276,0.371
80,0.8716,5.5698,0.3709
81,0.8716,5.6117,0.3709
82,0.8716,5.6535,0.3708
83,0.8716,5.695,0.3708
84,0.8716,5.7365,0.3707
85,0.8716,5.7777,0.3707
86,0.8716,5.8188,0.3707
87,0.8716,5.8597,0.3706
88,0.8716,5.9005,0.3706
89,0.8716,5.941,0.3706
90,0.8716,5.9815,0.3706
91,0.8716,6.0217,0.3705
92,0.8716,6.0619,0.3705
93,0.8716,6.1018,0.3705
94,0.8716,6.1417,0.3705
95,0.8716,6.1814,0.3704
96,0.8716,6.221,0.3704
97,0.8716,6.2603,0.3704
98,0.8716,6.2997,0.3704
99,0.8716,6.3387,0.3704
100,0.8716,6.3778,0.3703
