Sample_ID,Sport,Dport,Dur,TotPkts,TotBytes,SrcBytes,DstBytes,sRate,dRate,sLoad,dLoad,sMeanPktSz,dMeanPktSz,sJitter,dJitter,sHops,dHops,sTtl,dTtl,Proto_Code,State_Code,Mean_Pulse,Mean_SpO2,Mean_Temp,Mean_Blood_Pressure,Respiration_Rate,Mean_ECG,Tcp_Rtt,Ack_Dat,Syn_Ack,sLoss,dLoss,sWin,dWin,sAppBytes,dAppBytes,Label
NORM-0074,443.0,53.0,1.4369,18.0,11586.0,1563.0,1922.0,27.64,16.01,38048.56,38388.13,249.78,102.55,0.0151,0.0133,10.0,4.0,128.0,128.0,6.0,2.0,77.3,99.5,37.0,117.4,11.8,0.97,0.0243,0.0235,0.0341,0.0,0.0,65535.0,65535.0,1279.0,1655.0,0
NORM-0019,53.0,53.0,0.2677,17.0,14233.0,4513.0,2388.0,19.45,20.79,32812.42,42386.15,88.2,156.59,0.0208,0.0242,2.0,2.0,255.0,64.0,6.0,2.0,73.3,97.1,36.5,123.3,15.9,0.9,0.0386,0.0126,0.0256,0.0,0.0,65535.0,65535.0,3087.0,1721.0,0
NORM-0119,53.0,80.0,0.3062,34.0,9408.0,1863.0,837.0,11.03,5.46,27895.49,8054.88,175.98,210.26,0.0413,0.0162,13.0,8.0,255.0,128.0,6.0,2.0,61.2,98.3,36.5,128.7,18.4,1.01,0.0516,0.0136,0.0311,0.0,0.0,65535.0,65535.0,535.0,605.0,0
NORM-0079,443.0,443.0,0.2917,34.0,7387.0,4907.0,6620.0,23.35,9.17,43118.5,17640.82,221.83,105.92,0.0313,0.0464,2.0,4.0,64.0,255.0,6.0,2.0,54.6,96.5,36.1,112.5,14.2,0.72,0.0433,0.0314,0.015,0.0,0.0,65535.0,65535.0,2655.0,1808.0,0
NORM-0077,443.0,443.0,0.2266,11.0,5801.0,4063.0,5095.0,5.46,14.54,32556.46,27857.78,207.56,214.0,0.0359,0.006,13.0,7.0,128.0,128.0,6.0,2.0,54.8,96.1,36.6,104.5,16.9,0.78,0.0677,0.0374,0.012,0.0,0.0,65535.0,65535.0,3121.0,4661.0,0
NORM-0032,443.0,48384.0,0.8977,28.0,12148.0,1258.0,4364.0,10.41,13.94,16564.15,4436.77,65.67,125.83,0.0019,0.0091,10.0,11.0,255.0,255.0,6.0,2.0,85.8,97.1,36.9,133.5,16.0,0.88,0.0585,0.0111,0.0228,0.0,0.0,65535.0,65535.0,782.0,4960.0,0
NORM-0065,80.0,53.0,1.3366,15.0,3753.0,7221.0,3824.0,25.25,6.14,20366.5,33871.34,130.59,95.88,0.0106,0.0211,7.0,7.0,255.0,255.0,6.0,2.0,70.6,98.4,37.0,124.5,16.6,0.89,0.0272,0.0305,0.0314,0.0,0.0,65535.0,65535.0,4853.0,669.0,0
ATTK-0010,8080.0,80.0,1.2642,18.0,913.0,810.0,26571.0,25.69,18.19,9630.08,48680.76,1222.04,433.15,0.4122,0.6779,21.0,7.0,32.0,32.0,17.0,1.0,75.6,93.6,36.6,124.6,18.7,1.19,0.3053,0.3854,0.0832,1.0,7.0,1024.0,1024.0,6276.0,3970.0,1
NORM-0069,53.0,61331.0,0.0533,24.0,3926.0,7375.0,5098.0,19.09,15.89,3705.29,16324.14,224.37,65.87,0.0204,0.0473,13.0,1.0,128.0,255.0,6.0,2.0,70.8,99.0,36.6,107.5,16.8,0.78,0.0272,0.0131,0.006,0.0,0.0,65535.0,65535.0,1833.0,4800.0,0
NORM-0083,27700.0,80.0,4.0236,41.0,14666.0,2123.0,1630.0,12.54,4.75,20200.05,9808.07,189.21,94.45,0.0341,0.0139,8.0,5.0,128.0,128.0,6.0,2.0,87.3,97.6,36.2,110.1,17.3,0.92,0.073,0.017,0.0064,0.0,0.0,65535.0,65535.0,2909.0,2574.0,0
NORM-0111,80.0,443.0,0.642,11.0,9856.0,2076.0,2719.0,10.42,20.61,34655.63,24723.4,237.64,133.23,0.042,0.0047,7.0,11.0,64.0,255.0,6.0,2.0,85.8,98.0,36.8,116.0,14.1,0.81,0.0799,0.0222,0.0071,0.0,0.0,65535.0,65535.0,2365.0,3060.0,0
NORM-0013,443.0,53.0,1.3534,10.0,2784.0,3695.0,3553.0,15.42,9.58,19008.08,17121.27,122.22,132.1,0.0346,0.0155,12.0,14.0,255.0,255.0,6.0,2.0,85.9,97.1,37.0,137.4,16.9,0.97,0.0473,0.0272,0.0151,0.0,0.0,65535.0,65535.0,1048.0,3727.0,0
NORM-0037,20482.0,50869.0,1.1889,29.0,1819.0,3516.0,1309.0,12.61,17.27,5751.92,38215.07,177.18,163.05,0.0091,0.0134,7.0,3.0,64.0,255.0,6.0,2.0,66.6,98.6,37.0,104.6,16.8,0.87,0.0641,0.0122,0.038,0.0,0.0,65535.0,65535.0,2160.0,779.0,0
NORM-0010,53.0,443.0,0.3596,35.0,6751.0,449.0,6777.0,19.9,26.39,40413.68,21564.79,209.11,63.39,0.0063,0.0416,4.0,12.0,128.0,64.0,6.0,2.0,70.7,98.1,36.6,111.2,15.8,0.59,0.0418,0.0137,0.0133,0.0,0.0,65535.0,65535.0,4973.0,3780.0,0
NORM-0020,80.0,80.0,0.3889,13.0,4003.0,1123.0,4178.0,19.14,20.85,32749.48,29707.05,120.08,209.61,0.0279,0.0221,8.0,9.0,128.0,128.0,6.0,2.0,73.8,98.6,36.8,125.8,15.9,0.82,0.066,0.016,0.0343,0.0,0.0,65535.0,65535.0,2042.0,2571.0,0
NORM-0057,8080.0,53.0,2.5161,15.0,14599.0,3728.0,5051.0,17.07,14.95,19930.73,16910.36,134.39,77.05,0.0048,0.0392,11.0,7.0,64.0,255.0,6.0,2.0,83.8,96.1,37.0,101.3,19.7,0.94,0.0461,0.0378,0.0392,0.0,0.0,65535.0,65535.0,395.0,1334.0,0
NORM-0105,443.0,80.0,0.1979,44.0,1970.0,4874.0,3677.0,27.19,19.12,26527.81,19858.09,148.24,99.76,0.0413,0.0107,10.0,11.0,255.0,255.0,6.0,2.0,74.7,99.0,37.2,120.8,18.8,0.9,0.0565,0.0346,0.0398,0.0,0.0,65535.0,65535.0,1051.0,2216.0,0
